Concepto,Funete (citas),Binarización,Contraposición,pg,
Philosophy of Organism,"(xi) But the philosophy of organism is apt to emphasize just those elements in the writings of these masters which subsequent systematizers have put aside.
",rigid systematism/ philosophy of organism,philosophical tradition,xi,
scheme,"an endeavour is made to exhibit this scheme as adequate for the interpretation of the ideas and problems which form the complex texture of civilized thought // part II at once gives meaning to the verbal phrases of the scheme by their use in discussion, and shows the power of the scheme to put the various elements of our experience into a consistent relation to each other.

// (xv) 
First, that the movement of historical, and philosophical, criticism of detached questions, which on the whole has dominated the last two centuries, has done its work, and requires to be supplemented by a more sustained effort of constructive thought. Secondly, that the true method of philosophical construction is to frame a scheme of ideas, the best that one can, and unflinchingly to explore the interpretation of experience in terms of that scheme. Thirdly, that all constructive thought, on the various special topics of scientific interest, is dominated by some such scheme, unacknowledged, but no less influential in guiding the imagination. The importance of philosophy lies in its sustained effort to make such schemes explicit, and thereby capable of criticism and improvement.","teorización / ejemplificación
construction (composition) / detachment (isolation)","interconnection, experience, composition, capacityof transformation, knowledge",xi,
adequatio,"scheme -> consistent relation [of elements of our experience] (adequatio) 
truth-proof-view-theory (variation on adequatio)
// 
One test of success is adequacy in the comprehension of the variety of experience within the limits of one scheme of ideas. The endeavour to satisfy this condition is illustrated by comparing Chapters III, VII, and X of Part II, respectively entitled 'The Order of Nature,' 'The Subjectivist Principle,' and 'Process,' with Chapter [x] V of Part III, entitled 'The Higher Phases of Experience,' and with Chapter V of Part IV, entitled 'Measurement,' and with Chapter II of Part V, entitled 'God and thet World.' These chapters should be recognizable as the legitimate outcome of the one scheme of ideas stated in the second chapter of Part I.

//
Secondly, that the true method of philosophical construction is to frame a scheme of ideas, the best that one can, and unflinchingly to explore the interpretation of experience in terms of that scheme. (xv)",concistencia / inconsistencia,"scheme, adequatio, experience, expression, composition, interpretation",xi (implied),
whole,"Descartes, Newton, Locke, Hume, Kant. Anyone of these writers is one-sided in his presentation of the groundwork of experience; but as a whole they give a general presentation which dominates the development of subsequent philosophy",one-sided / multisided,composition,xi,Qué pasa con sus contradicciones?; Cómo las entiende?
rigid systematism,"a careful examination of their exact statements disclosed that in the main the philosophy of organism is a recurrence to pre-Kantian modes of thought. These philosophers were perplexed by the inconsistent presuppositions underlying their inherited modes of expression. In so far as they, or their successors, have endeavoured to be rigidly systematic, the tendency has been to abandon just those elements in their thought upon which the philosophy of organism bases itself. An endeavour has been made to point out the exact points of agreement and of disagreement.",rigid systematism/ philosophy of organism,,xi - xii,
inclusion of scientific learnings,"In the second part, the discussions of modern thought have been confined to the most general notions of physics and biology, with a careful avoidance of all detail. Also, it must be one of the motives of a complete cosmology to construct a system of ideas which bringst the aesthetic, moral, and religious interests into relation with those concepts of the world which have their origin in natural science.",one-sided / multisided,"whole, experience, modern knowledge",xii,
non-exo-systemic-dependence,"the cosmological scheme is developed in terms of its own categoreal notions, and without much regard to other systems of thought. For example, in Part II there is a chapter on the 'Extensive Continuum,' which is largely concerned with the notions of Descartes and Newton, cQmpared with the way in which the organic phi- losophy must interpret this feature of the world. But in Part IV, this ques- tion is treated from the point of view of developing the detailed method in which the philosophy of organism establishes the theory of this problem. // The lectures are intended to state a condensed scheme of cosmological ideas, to develop their meaning by confrontation with the various topics of experience, and finally to elaborate an adequate cosmology in terms of which all particular topics find theirt interconnections.",deductive + rigid systematic development / scheme and it's interaction with the world (priority of experience + theory vs systemic deduction),"scheme, rigid systematism, experience, modern knowledge, truth-proof+view-theory",xii,
cosmology,"(xiv) The history of philosophy discloses two cosmologies which at different periods have dominated European thought, Plato's Timaeus, and the cosmology of the seventeenth century, whose chief authors were Galileo, Descartes, Newton, Locke. In attempting an enterprise of the same kind, it is wise to follow the clue that perhaps the true solution consists in a fusion of the two previous schemes, with modifications demanded by self-consistency and the advance of knowledge. The cosmology explained in these lectures has been framed in accordance with this reliance on the positive value of the philosophical tradition.",,"scheme, interconnections, experience, method, multi-sided or composition, self consistency, advance of knowledge (scientific learnings)",,
experience,"I am particularly indebted to his chapter on the nature of experience, which appears in his Essays on Truth and Reality. His insistence on 'feeling' (?) is very consonant with my own conclusions. This whole metaphysical position is an implicit repudiation of the doctrine of 'vacuous actuality.' (?)","scientific learnings, method (recursive process)","science, philsophical tradition, feeling",xiii,
method,"The lectures are intended to state a condensed scheme of cosmological
ideas, to develop their meaning by confrontation with the various topics
of experience, and finally to elaborate an adequate cosmology in terms of
which all particular topics find theirt interconnections. // (scheme -> develop meaning through experience -> revision of the scheme as cosmology by taking into account the results of experience) // the unity of treatment is to be looked for in the gradual development of the scheme, in meaning and in relevance, and not in the successive treatment of particular topics",deductive + rigid systematic development / scheme and it's interaction with the world (priority of experience + theory vs systemic deduction) // gradual development / successive treatment,"non-exo-systemic-dependence, development, recurrence",xii,
